id,word_id,sentence
1,1,Living close to a lake means we have an abundant supply of water.
2,2,"Each fall, leaves accumulate in our driveway."
3,3,Make sure your address is accurate before submittFing your online order.
4,4,Having 8AM classes means I’m accustomed to getting up early.
5,5,"When my grandmother died, I acquired her cookbook collection."
6,6,The defendant was adamant that he was innocent.
7,7,"Our house isn’t big, but it’s adequate for the two of us."
8,8,The park is adjacent to the school.
9,9,The bike seat may be too high; you’ll probably need to adjust it.
10,10,His height gives him an advantage in basketball.
11,11,My aunt is a major advocate for women’s’ rights.
12,12,I had an adverse reaction to my medication and had to stop taking it.
13,13,We should aggregate our resources to share them more easily.
14,14,The salesperson was very aggressive when trying to get us to buy the television.
15,15,The village needs to allocate funds for building the new school.
16,16,"If the ATM is broken, an alternative solution is to stop by the bank."
17,17,He’s an amateur soccer player and is still learning the rules of the game.
18,18,"When I asked the HR manager what my chances were of getting the job, she gave me a very ambiguous reply."
19,19,My son is very ambitious and hopes to be a millionaire by the time he’s thirty.
20,20,I believe we should amend our country’s tax laws.
21,21,Our new apartment has ample space for the two of us.
22,22,"The basketball player is the team’s best free thrower, so his missing both shots was an anomaly."
23,23,The annual company barbeque takes place every August.
24,24,The boy loves to antagonize his little sister by pulling her hair.
25,25,"After she got grounded, the teenager had a bad attitude for the rest of the day."
26,26,Be sure to attribute credit to your sources when writing a research paper.
27,27,Flipping a coin is an arbitrary way to make a decision.
28,28,"After you cross the bridge, there’s an arduous walk up the hill."
29,29,The mother assuaged her child’s fear of the dark.
30,30,I assumed he was rich because he worked as a lawyer.
31,31,She augments her regular salary by babysitting on the weekends.
32,32,A benefit of doing homework on Friday is that your weekend will be free.
33,33,Our neighbor berated us after we broke his window playing baseball.
34,34,The medal was bestowed upon him by the president.
35,35,He always boasts of his talents after he wins a game.
36,36,I gave him a pep talk to boost his self-esteem before his speech.
37,37,The brash man always asked inappropriate questions.
38,38,"It will only have a brief meeting, so you’ll still have plenty of time for lunch."
39,39,"After being away for so long, I expected more than her brusque greeting."
40,40,The cuckoo clock shop lets off a cacophony every hour.
41,41,I wish they would cease arguing.
42,42,Every parent in our district censured the education cuts.
43,43,Put the historical events in chronological order to make them easier to study.
44,44,"I didn’t understand the instructions, so I asked the teacher to clarify them."
45,45,The people on the street eventually coalesced into a group.
46,46,The young boy was coerced into stealing by his friends.
47,47,"Before mountain climbing, you need to be cognizant of the risks."
48,48,Water molecules show strong cohesion when they stick together.
49,49,This year Thanksgiving coincided with my birthday.
50,50,"The old building finally collapsed, leaving nothing but a pile of rubble."
51,51,The two cars collided on the freeway.
52,52,Joining a school play is a big commitment. You’ll need to practice every evening.
53,53,The Chinese community in my city is hosting a New Year celebration next week.
54,54,The mountains concealed the ocean from view.
